Pattern_1 Pattern_5
DHX29 0.0987970903515816 0.248212248086929
TRIL 0.00817709229886532 0.00996216107159853
AC107241.1 0.000404469727072865 0.000164661178132519
CHERP 0.172041460871696 0.317188233137131
AC108860.2 0.0151731874793768 0.0966967791318893
ASCL1 0.000674044131301343 0
C11orf80 0.0966986641287804 0.256757825613022
RIBC1 0.000883462198544294 0.0575870424509048
SRGAP2C 0.134821936488152 0.126779690384865
AP1M2 0.026987561956048 0.570716977119446
AL138921.1 0.000329942966345698 0.000222645947360434
SEC62 0.433477610349655 0.612077474594116
AQP5 0.000889566319528967 0.000383945880457759
PKD2 0.120752215385437 0.130817532539368
IGHV4-34 0.00126064440701157 0.000198134875972755
AC093425.1 0.000458850088762119 0.000202367038582452
DEC1 0.000413871835917234 0.000264602364040911
LINC00900 0.0239281468093395 0.00243729073554277
CNTNAP4 0.00534267537295818 0.00021285105322022
ITGA10 0.039270356297493 0.00134498719125986
AL158847.1 0.00034799546119757 0.000171596795553342
TRAF3IP3 0.557996571063995 0.000238549750065431
PTCD2 0.0152261862531304 0.0888188108801842
HIST2H2AA3 0.00115727796219289 0.0111382836475968
ARHGAP32 0.0554195716977119 0.139290884137154
RASL10B 0.0192535538226366 0.00191182631533593
AF106564.1 0.000664182181935757 0.00017543112335261
ACADL 0.0003741022082977 0.000158726834342815
ZBTB37 0.0953503400087357 0.15484531223774
AC104964.1 0.000560156186111271 0.000178239293745719
ZNF333 0.056120503693819 0.0359301194548607
GNRH1 0.015344176441431 0.0212231930345297
NUDT12 0.0298882033675909 0.242520153522491
NRAD1 0.000444878183770925 0.000182669624336995
AC108516.1 0.000323551590554416 0.00017102641868405
AC007614.1 0.000713529763743281 0.00681297108530998
PID1 0.0259222704917192 0.00668692728504539
GBP4 0.525591433048248 0.0298252496868372
AL122020.2 0.000359755678800866 0.000193002240848728
SEMA3B 0.00783857144415379 0
CCT8 0.368768662214279 1.0429220199585
POLDIP2 0.191789850592613 0.72350662946701
ZDHHC23 0.0118428869172931 0.140734419226646
SPERT 0.000318679813062772 0.000158744456712157
AL158211.1 0.00131463352590799 0.000863653258420527
AC011509.2 0.000326375185977668 0.000171328938449733
HSF4 0.0520377941429615 0.148056730628014
RPE 0.186528041958809 0.233272075653076
TMC5 0.00389217142947018 0.248385891318321
LRCH4 0.388800621032715 0.274447977542877
TIMM23 0.18308125436306 0.462690532207489
SLC1A4 0.0945320129394531 0.171180114150047
ZBTB46 0.0687216818332672 0.123389221727848
LCNL1 0.0166714042425156 0.000261234032223001
PRSS45P 0.000819933949969709 0.000190237013157457
AC007387.3 0.000307373265968636 0.000159328788868152
AC097654.1 0.000331437535351142 0.0002068178873742
MMP15 0.019636956974864 0.551342129707336
AC105328.1 0.000148907318362035 0.000139903015224263
HTR1F 0.00260560982860625 0.000402705685701221
SEPTIN14 0.000348152389051393 0.000173085019923747
SELENOS 0.306103825569153 0.560107707977295
RELT 0.248247638344765 0.158391058444977
C1orf109 0.0574171729385853 0.148542776703835
ERI2 0.0111508872359991 0.256642252206802
ARHGAP39 0.000789147568866611 0.520533323287964
AC096920.1 0.000341656646924093 0.000240242341533303
PECR 0.0206503830850124 0.116022385656834
EIF4G1 0.74845427274704 1.79967963695526
MMRN2 0.23871061205864 0.0320531614124775
RNF130 0.776470184326172 0.487246572971344
AC136616.2 0.000365022395271808 0.00016129323921632
PLA2G4D 0.000416562572354451 0.000226190168177709
HOMER2 0.0384984239935875 0.0949757099151611
CLCC1 0.120568215847015 0.21573942899704
AP003465.1 0.000934572599362582 0.00102696416433901
FAM71D 0.0183451604098082 0.381345629692078
MLKL 0.270211845636368 0.08246760815382
BAG5 0.109390959143639 0.225553900003433
UBD 0.343941807746887 0.0542140118777752
NUP62 0.337934345006943 0.521465420722961
SSUH2 0.00217097532004118 0.00304763554595411
POLR2J2 0.0088744917884469 0.00161291507538408
LOXL1-AS1 0.00656376406550407 0.0208122711628675
BBOX1-AS1 0.000354635034454986 0.0002950242778752
INHBB 0.00929044745862484 0.076225720345974
TYROBP 3.13227820396423 0.858689546585083
ARHGEF12 0.255504250526428 0.465083569288254
